[2026-04-12T04:39:49 poll=151] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:44:49 poll=152] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:49:49 poll=153] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:54:49 poll=154] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T04:59:49 poll=155] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T05:04:49 poll=156] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T05:09:50 poll=157] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T05:14:50 poll=158] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (12/80 @9.669419)
[2026-04-12T05:19:50 poll=159] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T05:24:50 poll=160] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T05:29:50 poll=161] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T05:34:50 poll=162] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T05:39:50 poll=163] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T05:44:50 poll=164] full_m1_pareto=ALIVE:932151 (5/48 @8.087830) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T05:49:51 poll=165] full_m1_pareto=ALIVE:932151 (6/48 @8.911521) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T05:54:51 poll=166] full_m1_pareto=ALIVE:932151 (6/48 @8.911521) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T05:59:51 poll=167] full_m1_pareto=ALIVE:932151 (6/48 @8.911521) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T06:04:51 poll=168] full_m1_pareto=ALIVE:932151 (7/48 @8.800494) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T06:09:51 poll=169] full_m1_pareto=ALIVE:932151 (7/48 @8.800494) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T06:14:51 poll=170] full_m1_pareto=ALIVE:932151 (7/48 @8.800494) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T06:19:51 poll=171] full_m1_pareto=ALIVE:932151 (8/48 @5.912704) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T06:24:52 poll=172] full_m1_pareto=ALIVE:932151 (8/48 @5.912704) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T06:29:52 poll=173] full_m1_pareto=ALIVE:932151 (8/48 @5.912704) | full_igsd_pareto=ALIVE:964696 (13/80 @2.159581)
[2026-04-12T06:34:52 poll=174] full_m1_pareto=ALIVE:932151 (8/48 @5.912704) | full_igsd_pareto=ALIVE:964696 (14/80 @2.778878)
